Name,Transmitter Code,Territory,Primary IPI Name Number,Start Date,End Date
Reach Global (Uk) Limited,RG,,418408169,17/05/2010,
Reach Music Publishing Inc.,RMP,,631558646,22/01/2013,
Rebel Music Publishing,REB,,547269717,05/11/2015,
Red Brick Music Publishing,RED,,677542604,12/06/2012,
Red Igloo Music,RIM,,451367657,23/05/2017,
Red Smoke B.V.,RES,,819146430,29/11/2016,
Reel Muzik Werks Scandinavia,RMW,,557026549,29/04/2010,
Reel Muzik Werks Uk,RMW,,559359109,29/04/2010,
Reformation Publishing Co Ltd,REF,,47807071,29/06/2012,
Reliable Source Music Limited,REL,,269721142,23/05/2012,
Reservoir Media Management Inc,RMM,,585140447,04/05/2011,
Reservoir Media Music,RMM,,547043753,19/03/2013,
Reverb 2 Music LTD,RTM,,401593682,16/04/2003,
REVERB MUSIC,RM,,162297367,13/05/2003,
