"Validity start date of territory hierarchy","Numeric TIS-code of higher level territory","Validity start date of higher level territory","Numeric TIS-code of lower level territory","Validity start date of lower level territory","Validity end date of territory hierarchy"
1000/1/1 00:00:00,2127,1000/1/1 00:00:00,208,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2127,1000/1/1 00:00:00,246,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2127,1000/1/1 00:00:00,352,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2127,1000/1/1 00:00:00,578,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2127,1000/1/1 00:00:00,752,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2128,1000/1/1 00:00:00,12,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2128,1000/1/1 00:00:00,434,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2128,1000/1/1 00:00:00,504,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2128,1000/1/1 00:00:00,788,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2128,1000/1/1 00:00:00,818,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2129,1000/1/1 00:00:00,124,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2129,1000/1/1 00:00:00,484,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2129,1000/1/1 00:00:00,840,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,258,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,296,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,520,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,583,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,584,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,585,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,598,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,776,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,798,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,882,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2130,1000/1/1 00:00:00,2107,1000/1/1 00:00:00,3999/12/31 00:00:00
1000/1/1 00:00:00,2131,1000/1/1 00:00:00,208,1000/1/1 00:00:00,3999/12/31 00:00:00
